Model,AUC-ROC,Accuracy,F1,Precision,Recall,TN,FP,FN,TP,TrainSeconds
LogisticRegression,0.6131085838792611,0.7214962849090443,0.6250263861534668,0.6957200534639099,0.7214962849090444,5517,69,2105,115,23.998867211979814
RandomForest,0.8049507213980899,0.8088649756597489,0.7718411836512992,0.8488240048254587,0.8088649756597489,5585,1,1491,729,32.50107823999133
GBT,0.8239677378775127,0.8453753522931079,0.8289028099866784,0.8569010221738951,0.8453753522931078,5490,96,1111,1109,427.56074475694913
